 Case_ID  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn     Fst        Fst        Fst        Fst       Fst       Fst          Fst         Fst       Fst     Fst    Fst   InflowWind  InflowWind  ServoDyn  ServoDyn                             ServoDyn                             ServoDyn    ServoDyn  ServoDyn  ServoDyn  ServoDyn 
           DrTrDOF    EdgeDOF    FlapDOF1   FlapDOF2    GenDOF   PtfmHvDOF   PtfmPDOF   PtfmRDOF  PtfmSgDOF  PtfmSwDOF   PtfmYDOF   TeetDOF    TwFADOF1   TwFADOF2   TwSSDOF1   TwSSDOF2    YawDOF   CalcSteady  CompAero  CompElast  CompHydro  CompIce  CompInflow  CompMooring  CompServo  CompSub    DT    TMax  HWindSpeed   WindType   AfCMode    CCMode                            DLL_FileName                          DLL_InFile  HSSBrMode   PCMode   VSContrl   YCMode  
    0       False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      0.5          1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    1       False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      1.0          1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    2       False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      1.5          1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    3       False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      2.0          1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    4       False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      2.5          1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    5       False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      3.0          1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    6       False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      3.5          1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    7       False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      4.0          1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    8       False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      4.5          1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    9       False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      5.0          1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
    10      False       True       True       True      False      False      False      False      False      False      False      False       True       True       True       True      False       True        2          1          0         0         1            0           1         0     0.0125  250      5.5          1          0         0      /Users/aoifework/Documents/dev/WEIS/local/lib/libdiscon.dylib     None         0         5         5         0     
