------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -2.804650001944678e+00  6.600000000000000e+00        1
 5.689655172413794e+00  0.000000000000000e+00  0.000000000000000e+00  1.076427465867611e-01  3.267522411272622e+00  6.706886027711962e+00        2
 1.137931034482759e+01  2.137852926732373e-02  1.299861519891782e-01 -5.503366377435536e-01  9.339694830216867e+00  6.877191268338100e+00        3
 1.706896551724138e+01 -1.092987154282903e-01 -3.964857068104395e-01 -2.042746275574614e+00  1.541186724343680e+01  7.253494650707170e+00        4
 2.275862068965517e+01 -3.842380768692332e-01 -9.762425855133259e-01 -1.112868884784828e+00  2.148403965707455e+01  7.629798032967532e+00        5
 2.844827586206896e+01 -3.303077370712293e-01 -8.808215373497428e-01  1.058666794657238e+00  2.055602586212212e+01  7.838705342842688e+00        6
 3.413793103448276e+01 -1.739920057227111e-01 -6.124797249264637e-01  1.230203396867528e+00  1.585868103535371e+01  7.957477427582316e+00        7
 3.982758620689655e+01 -8.600020193590317e-02 -4.358762765998752e-01  5.676943154727112e-01  1.116133620858576e+01  8.076249512222006e+00        8
 4.551724137931035e+01 -6.124610794320100e-02 -3.988580073686626e-01  2.023471509075107e-01  8.729790517105013e+00  7.671728004917457e+00        9
 5.120689655172414e+01 -4.581283978252625e-02 -3.702565364166310e-01  1.467103710450002e-01  7.053511206089391e+00  7.092776497241990e+00       10
 5.689655172413792e+01 -3.210851643488254e-02 -3.411193889930722e-01  1.053787987765916e-01  5.377231895941499e+00  6.513824989487628e+00       11
 6.258620689655172e+01 -2.488394433535361e-02 -3.206059765043719e-01  6.536402682279552e-02  4.438134135469156e+00  6.113502176877942e+00       12
 6.827586206896552e+01 -1.912680309425649e-02 -3.015653819476434e-01  5.524189759114129e-02  3.629127242915399e+00  5.744702138815011e+00       13
 7.396551724137932e+01 -1.391254985086411e-02 -2.824299908233240e-01  4.266663474336532e-02  2.820120344642715e+00  5.375902100694594e+00       14
 7.965517241379310e+01 -1.065293578034112e-02 -2.689238956747606e-01  3.115915850886678e-02  2.268483036618584e+00  5.116631395377787e+00       15
 8.534482758620689e+01 -7.724140856485721e-03 -2.556832087741290e-01  2.790879262478767e-02  1.730368276736137e+00  4.863115106004000e+00       16
 9.103448275862068e+01 -5.110070271447187e-03 -2.426398566977006e-01  1.930433177383616e-02  1.206488447722146e+00  4.613947919409156e+00       17
 9.672413793103448e+01 -3.890176470893200e-03 -2.338966365783809e-01  1.189408348023815e-02  9.528574145888019e-01  4.447319108598178e+00       18
 1.024137931034483e+02 -2.747828805024517e-03 -2.251477257354731e-01  1.085469348267887e-02  6.992350316837252e-01  4.280693785762882e+00       19
 1.081034482758620e+02 -1.734364539400059e-03 -2.166690276756189e-01  8.455901814056654e-03  4.586241373971472e-01  4.119315001411084e+00       20
 1.137931034482758e+02 -1.068432321444599e-03 -2.097508016410849e-01  6.503189966655745e-03  2.918517249086607e-01  3.987709559374641e+00       21
 1.194827586206897e+02 -4.427891854744305e-04 -2.028305932574146e-01  5.782470328904871e-03  1.250793129010024e-01  3.856104117341263e+00       22
 1.251724137931034e+02  8.000347748959440e-05 -1.960215095177503e-01  4.177112183082798e-03 -2.338448144431523e-02  3.726644978021065e+00       23
 1.308620689655172e+02  3.868121610523218e-04 -1.895502600347981e-01  2.983076341178603e-03 -1.169224116280341e-01  3.603624614354736e+00       24
 1.365517241379310e+02  6.724616260954155e-04 -1.830776229729043e-01  2.265010968069165e-03 -2.104519337837937e-01  3.480586653549160e+00       25
 1.422413793103448e+02  8.366579080239492e-04 -1.735500748751053e-01  6.545562335639469e-04 -2.762118985275370e-01  3.299469421334355e+00       26
 1.479310344827586e+02  8.024607042649151e-04 -1.583454709036990e-01 -3.821799831670661e-04 -2.903601708177349e-01  3.010408825847066e+00       27
 1.536206896551724e+02  7.607545051386846e-04 -1.431408953326918e-01 -4.577787568669223e-04 -3.045084487944653e-01  2.721348230398044e+00       28
 1.593103448275862e+02  7.115428986626154e-04 -1.279363757945237e-01 -5.333618328176214e-04 -3.186582739675472e-01  2.432288107812722e+00       29
 1.650000000000000e+02  6.548254144934599e-04 -1.127319206101207e-01 -5.711545549021089e-04 -3.328100009418092e-01  2.143228563400000e+00       30
