,RootMyc1,YawBrMyp,YawBrMzp
case_24_baseline_k_turbsim_outdata_24.mat,140561.49345455007,10739.733323905919,38455.29312441552
case_47_baseline_k_turbsim_outdata_47.mat,145381.46631033305,11795.579318005792,45529.98381253912
case_3_baseline_k_turbsim_outdata_3.mat,156879.08034657507,7863.76697702889,57994.02345728526
case_54_baseline_k_turbsim_outdata_54.mat,139142.84746122416,5964.836444692247,41016.435968972786
case_37_baseline_k_turbsim_outdata_37.mat,148785.83346306163,7158.039161707254,51123.78620864542
case_16_baseline_k_turbsim_outdata_16.mat,144077.6025248043,10893.589444124123,43554.618453580006
case_26_baseline_k_turbsim_outdata_26.mat,139868.2230072825,11168.368424203441,35183.472544706536
case_45_baseline_k_turbsim_outdata_45.mat,146142.78324501828,11446.426013567854,48974.816419706985
case_7_baseline_k_turbsim_outdata_7.mat,153920.9711920214,7242.280554516212,47029.68907499926
case_56_baseline_k_turbsim_outdata_56.mat,139044.4211385786,11242.720779212597,43920.09141913732
case_9_baseline_k_turbsim_outdata_9.mat,154381.83375512215,11685.181720326911,54452.588575552174
case_14_baseline_k_turbsim_outdata_14.mat,151058.5140061476,6494.071712059274,45138.97013262967
case_35_baseline_k_turbsim_outdata_35.mat,153114.0262258625,12524.172933284874,54746.901051291316
case_25_baseline_k_turbsim_outdata_25.mat,140809.13737111966,5355.186653976648,36664.44515633647
case_46_baseline_k_turbsim_outdata_46.mat,141923.77148176308,10980.949653347745,44981.67378262644
case_55_baseline_k_turbsim_outdata_55.mat,139028.39707162624,5243.346533165084,39321.71252285227
case_36_baseline_k_turbsim_outdata_36.mat,149534.5609874397,6873.965406394934,53108.34780624209
case_4_baseline_k_turbsim_outdata_4.mat,153981.79108595874,6973.890130311401,59828.15271454714
case_17_baseline_k_turbsim_outdata_17.mat,147473.38758325976,11543.911371767468,41028.21041354599
case_27_baseline_k_turbsim_outdata_27.mat,141006.02222253886,4783.657611431344,33106.56106822914
case_44_baseline_k_turbsim_outdata_44.mat,147165.29139666926,6627.149236997499,47766.56249534593
case_57_baseline_k_turbsim_outdata_57.mat,139916.4779231606,4911.988039409618,43415.99211824538
case_15_baseline_k_turbsim_outdata_15.mat,149390.49656774325,11207.016338826024,48169.5850225157
case_34_baseline_k_turbsim_outdata_34.mat,148918.22065182735,6997.446574264911,60672.26348361799
case_11_baseline_k_turbsim_outdata_11.mat,149386.05791480123,6705.53123975766,45135.7293695138
case_8_baseline_k_turbsim_outdata_8.mat,155032.91906080625,7994.10735438035,51973.580837534886
case_49_baseline_k_turbsim_outdata_49.mat,142668.7293675577,6112.465908331337,42239.67788296785
case_30_baseline_k_turbsim_outdata_30.mat,140118.71360482535,6000.562432449227,30940.78788050299
case_53_baseline_k_turbsim_outdata_53.mat,140635.8254639011,11390.557082203362,41431.516748502174
case_6_baseline_k_turbsim_outdata_6.mat,154423.61780775894,6773.461874646035,50917.63905490646
case_18_baseline_k_turbsim_outdata_18.mat,144965.48687539002,11233.847051649054,41937.43058611166
case_39_baseline_k_turbsim_outdata_39.mat,149139.08857580024,11992.660954106303,55980.01625841412
case_40_baseline_k_turbsim_outdata_40.mat,149998.7803274417,7309.383015176064,48595.77521804712
case_23_baseline_k_turbsim_outdata_23.mat,142878.43088459718,5097.067275513908,37991.183852631635
case_32_baseline_k_turbsim_outdata_32.mat,151812.61577128986,12193.975846989262,50495.23479500621
case_13_baseline_k_turbsim_outdata_13.mat,154421.8684890962,11259.737911510047,42977.28927185904
case_28_baseline_k_turbsim_outdata_28.mat,139207.7714146144,11180.365668187003,32544.780613244046
case_51_baseline_k_turbsim_outdata_51.mat,143962.82464657244,11365.534168863116,39572.203659310464
case_2_baseline_k_turbsim_outdata_2.mat,156872.0003484706,12005.560788327348,49195.3391921768
