,RootMyc1,RootMxb1,RootMyb1,TTDspFA,TTDspSS,YawBrMyp,YawBrMzp
case_24_baseline_k_turbsim_outdata_24.mat,141909.0204145996,1605.4632297021396,136486.98117994337,0.28335368237530584,0.916255872257456,5366.095464706466,34658.343447260086
case_47_baseline_k_turbsim_outdata_47.mat,146450.8909447502,1578.1348599994453,139698.56716805452,0.3786764584017762,1.0440819194937507,6329.537906667991,44830.91783129875
case_3_baseline_k_turbsim_outdata_3.mat,154134.5151397739,2615.837585041925,138214.8666157398,0.5963952477580527,1.5270211956437767,8393.224804010795,51005.859893117624
case_54_baseline_k_turbsim_outdata_54.mat,140219.56482120688,1605.463343016104,136546.69795037663,0.44479839668380444,0.9195396760575085,5397.994591340344,38211.12847813172
case_37_baseline_k_turbsim_outdata_37.mat,152021.9639628715,2562.8815441248007,148523.4877038408,0.52505473215812,1.4103367846740829,11560.000930746342,47852.07208410799
case_16_baseline_k_turbsim_outdata_16.mat,143289.19672759,1384.5647901036668,133459.520861344,0.4041920233530495,0.5921116169630739,5732.42880533244,37890.698293772984
case_26_baseline_k_turbsim_outdata_26.mat,139415.27702835845,1247.7715361869684,136477.7136315786,0.15913833796425078,0.5187441161634265,4699.416647326098,31772.845269668465
case_45_baseline_k_turbsim_outdata_45.mat,145606.74851621754,1949.0160308250045,135985.20548557994,0.4495396892259664,1.1484205112228667,6263.123585904072,46179.343744233796
case_7_baseline_k_turbsim_outdata_7.mat,155343.09775449417,2562.881136342295,148792.0632448367,0.534572139879455,1.4051994043162679,7091.555406777222,45249.18198034412
case_56_baseline_k_turbsim_outdata_56.mat,138026.92371412696,1247.7715143527937,136711.90639496304,0.15756400844064053,0.5334448126362794,6105.137651501606,37125.542845814554
case_9_baseline_k_turbsim_outdata_9.mat,153265.49700035542,2268.349689737686,137618.73307799496,0.5855512481463393,1.2068357743924694,7526.193547804906,48901.11274935968
case_14_baseline_k_turbsim_outdata_14.mat,147644.47925655323,2306.335001017673,140627.14106194474,0.5975445686449896,1.3036652176960528,6293.608453092715,48596.91783362265
case_35_baseline_k_turbsim_outdata_35.mat,152125.25579711774,2513.3920047232723,149486.41220562469,0.6194518423633696,1.5028551132407861,7296.490504265424,53031.15279349304
case_25_baseline_k_turbsim_outdata_25.mat,140536.92522052003,1311.2544758828303,134708.5144210637,0.26626717083411233,0.6918954321714503,5511.099643468442,36613.93304072004
case_46_baseline_k_turbsim_outdata_46.mat,140589.29548498426,1375.4315132373622,133406.4897407593,0.4041080343768203,0.6107461221887674,11001.435328797028,40743.44473502092
case_55_baseline_k_turbsim_outdata_55.mat,139002.43858674553,1311.2611299157395,134929.52966829654,0.4060878794480512,0.6929369062439734,5503.165283868644,38626.43579917118
case_36_baseline_k_turbsim_outdata_36.mat,149539.530695447,2359.2156362102196,141973.56877185902,0.5133111503416607,1.3775058802214817,6874.065734500702,53109.48334768578
case_4_baseline_k_turbsim_outdata_4.mat,152710.9453637087,2822.6944981847096,139059.32627815538,0.6844899345411988,1.4998605972347032,7644.846685159381,57318.934920504085
case_17_baseline_k_turbsim_outdata_17.mat,148909.97620523922,1578.104902996499,139563.1069156179,0.3709719248242982,1.0419298817896638,6284.870868375748,41139.96785197917
case_27_baseline_k_turbsim_outdata_27.mat,139937.75054929926,1155.0924882029458,137122.35614068297,0.306410592693491,0.5397298194787219,4410.875082510597,29734.32263951506
case_44_baseline_k_turbsim_outdata_44.mat,145024.12477168458,2306.334982138357,140771.2745006017,0.47728581732265946,1.3079078500586427,6381.495257355117,49873.58583395688
case_57_baseline_k_turbsim_outdata_57.mat,138719.71503716687,1155.0839749630866,137300.68893060906,0.30590334011600817,0.5392935362593326,5036.243059746245,31655.823296640025
case_15_baseline_k_turbsim_outdata_15.mat,148495.58538910537,1949.0100222418769,135798.14068646028,0.4495597618240408,1.145294573904315,6256.720164775839,42228.95151010499
case_34_baseline_k_turbsim_outdata_34.mat,147546.86351521243,2822.694992382689,139477.16847528328,0.6845947289936921,1.5055048536025974,7612.537497441349,60958.152973818855
case_11_baseline_k_turbsim_outdata_11.mat,154852.96545323185,1393.1234039573294,141554.21466265447,0.5200555133489189,1.0468099582790524,6519.585217109238,46006.456474921084
case_8_baseline_k_turbsim_outdata_8.mat,152866.93674394983,2231.6457221597702,141025.76108930356,0.46261771095596693,1.296765227373683,11831.143661011261,48280.40403865388
case_49_baseline_k_turbsim_outdata_49.mat,148297.0016337567,2143.6561459326517,139256.19489256153,0.4790682704050355,0.9436804464515953,12041.05298429602,44860.85618292331
case_30_baseline_k_turbsim_outdata_30.mat,140521.43242310194,1107.265558405045,137588.14319476328,0.32262914213800625,0.40624223362698914,5312.732327290221,32093.185713699815
case_53_baseline_k_turbsim_outdata_53.mat,142099.88661206161,1813.9591968236184,138484.926942275,0.3149156916653251,0.9608202782731614,5578.500854164266,36702.17686926347
case_6_baseline_k_turbsim_outdata_6.mat,154423.61780775894,2359.215332092764,141665.16662653422,0.6280691612052216,1.3722610586435189,6773.461874646035,50917.63905490646
case_18_baseline_k_turbsim_outdata_18.mat,147473.38758325976,1852.1147088533514,138963.9517837081,0.48947662049710094,1.0608364718851697,11543.911371767468,41028.20945905486
case_39_baseline_k_turbsim_outdata_39.mat,148919.22869324876,2268.3524637769806,138066.011705449,0.4629853146325,1.2127328895155234,12136.836763006242,51505.3076377029
case_40_baseline_k_turbsim_outdata_40.mat,147270.9524426309,2651.9328825950834,138155.2102473288,0.6508192731780181,1.3201061256505888,7368.36876169856,48011.09780280232
case_23_baseline_k_turbsim_outdata_23.mat,143044.9390549689,1813.958788062083,138061.09552674435,0.47749669818961354,0.9569725966372089,5812.281042105251,34713.115457295906
case_32_baseline_k_turbsim_outdata_32.mat,148141.22401452786,2594.073141248288,136100.93697769116,0.6436311189788531,1.3903672940274858,7755.8808712703585,55910.21479898716
case_13_baseline_k_turbsim_outdata_13.mat,156637.57566495187,2410.739738359908,152007.82681297165,0.5145265119221208,1.4836376819112236,12293.352902016277,48446.92856926606
case_28_baseline_k_turbsim_outdata_28.mat,140011.59454469205,1239.2842754046399,136747.54459413557,0.27128327052031836,0.7542762358838185,5724.887687044488,34981.58880796342
case_51_baseline_k_turbsim_outdata_51.mat,139886.88953005942,1915.7843599805003,136342.15637868468,0.2869566027731718,1.0102714194618962,10924.446386885467,40145.102759837355
case_2_baseline_k_turbsim_outdata_2.mat,154603.2322841459,2594.0017174795494,135050.76885858254,0.6438806240938721,1.3852374795554325,11773.636836650994,51367.065491453024
case_42_baseline_k_turbsim_outdata_42.mat,145328.08902329815,2793.3796666622347,139774.5750299962,0.4851228804163595,1.3593242903296952,11396.788967627943,50458.65855784242
case_58_baseline_k_turbsim_outdata_58.mat,139281.87233791885,1447.67664690541,137871.77624113587,0.2703847577822605,0.7560239673897412,6107.64959584764,39233.37216400687
case_21_baseline_k_turbsim_outdata_21.mat,141273.50954317572,1915.7843645264938,135981.80267241213,0.28695205480218555,1.0076892312294845,10919.78435195237,37820.08671078468
case_1_baseline_k_turbsim_outdata_1.mat,162337.5605233802,2689.9710746950914,151942.81986208184,0.6469069551372824,1.6507110342111326,10955.684441337751,54722.57489790034
case_10_baseline_k_turbsim_outdata_10.mat,151775.91758198885,2651.9329768394514,137765.03828066943,0.6506542435785794,1.3150733229661022,11847.05132586003,45439.85035764356
case_48_baseline_k_turbsim_outdata_48.mat,145384.68135029846,1852.1148644002444,139033.7240748081,0.48960781146888416,1.0658116146046404,11795.556655065442,45530.75549768981
case_31_baseline_k_turbsim_outdata_31.mat,156567.15480674646,2689.972187727611,151826.65851585087,0.6469890878995289,1.654409252362135,11535.914117219118,57725.191440030045
case_52_baseline_k_turbsim_outdata_52.mat,138999.01639622476,1606.5032452952803,135197.41961566257,0.3533332330151332,0.6880748340241615,10965.43340735786,37342.87792053226
case_60_baseline_k_turbsim_outdata_60.mat,139401.6497365493,1679.0860867884294,137817.3573194938,0.3228382162631907,0.4312966687128895,5312.715546896656,38982.1104154174
case_19_baseline_k_turbsim_outdata_19.mat,151241.42634874143,2143.656136675884,139567.8930794931,0.3543398059477336,0.9357138888603819,11466.634644516464,42136.94361600531
case_38_baseline_k_turbsim_outdata_38.mat,149336.97563537917,2231.6459455913246,141792.86621385004,0.46256763852324173,1.3043942976236604,11841.170895612035,51418.62261270673
case_41_baseline_k_turbsim_outdata_41.mat,151851.98397842838,1393.1263477990794,141389.11484766606,0.5195967237786211,1.0501238045142722,11609.328068216219,48010.43422300128
case_22_baseline_k_turbsim_outdata_22.mat,140260.2891493112,1544.5776239620718,134654.33587748595,0.3535274381168802,0.6879492108780979,5344.629863179408,34269.32614754034
case_33_baseline_k_turbsim_outdata_33.mat,148628.90349489375,2615.837756357509,137937.83796102344,0.5965425290195648,1.532502416329083,8542.760830252286,53802.87934050853
case_5_baseline_k_turbsim_outdata_5.mat,157811.07933263129,2513.3050456159267,149258.66794187768,0.6189296713816204,1.4981124453829113,11313.7872684027,51187.901779613276
case_12_baseline_k_turbsim_outdata_12.mat,149365.22227169562,2793.3796641249496,139476.95795484429,0.4848838404603073,1.3538759971660657,11210.656759400777,48195.723710356884
case_29_baseline_k_turbsim_outdata_29.mat,139570.47937343473,1678.5851457356707,136830.68247598346,0.39815998339212066,0.7393307874601598,5626.420577873058,34698.348094272216
case_50_baseline_k_turbsim_outdata_50.mat,141913.25735921427,1452.3817964490363,135249.06550016985,0.2897958204121475,0.7438567727850485,5830.072469719993,38092.96121133441
case_43_baseline_k_turbsim_outdata_43.mat,154208.71926070738,2410.7844796604477,151900.84840567576,0.5144736603690749,1.4885603613533287,12354.127506094055,46358.63114009706
case_59_baseline_k_turbsim_outdata_59.mat,138494.76355305884,1678.5846983341169,136643.15043110732,0.3981023135119098,0.7510033388518313,11467.370629125078,35929.78202489368
case_20_baseline_k_turbsim_outdata_20.mat,144486.43040228687,1452.482531068025,135113.1651330401,0.28977201356449855,0.7114729282338303,11208.543787499011,36132.75473091576
