,RootMyc1,YawBrMyp,YawBrMzp
case_41_optimal_k_cases_turbsim_ref_outdata_41.mat,147135.44543370407,6277.646582325038,48637.75121123986
case_321_optimal_k_cases_turbsim_ref_outdata_321.mat,186455.73685544773,33380.16677177524,207194.26797145786
case_354_optimal_k_cases_turbsim_ref_outdata_354.mat,141384.77944383025,20488.155452034036,113599.19938747742
case_187_optimal_k_cases_turbsim_ref_outdata_187.mat,153735.7399871064,8320.900962798918,51295.00536629119
case_23_optimal_k_cases_turbsim_ref_outdata_23.mat,152357.69511749703,11833.704831176015,48603.28251795697
case_58_optimal_k_cases_turbsim_ref_outdata_58.mat,144155.4040526267,11226.009272928102,35795.11547814406
case_409_optimal_k_cases_turbsim_ref_outdata_409.mat,148485.08441002897,6328.558016517236,41327.34746081966
case_442_optimal_k_cases_turbsim_ref_outdata_442.mat,139752.95734219486,5717.074108786097,34885.86927880544
case_161_optimal_k_cases_turbsim_ref_outdata_161.mat,141672.1053016787,5361.38636676917,34626.409882285414
case_114_optimal_k_cases_turbsim_ref_outdata_114.mat,208869.76279523643,40530.54955036249,274629.5462983654
case_437_optimal_k_cases_turbsim_ref_outdata_437.mat,139234.64843760885,4694.384067478296,32097.055502884552
case_222_optimal_k_cases_turbsim_ref_outdata_222.mat,199716.37833537417,39520.41659709882,229104.3612443595
case_269_optimal_k_cases_turbsim_ref_outdata_269.mat,140246.11085026388,5305.789116797189,32232.88242388417
case_257_optimal_k_cases_turbsim_ref_outdata_257.mat,139236.24842390342,4694.288982514,32113.362891768218
case_282_optimal_k_cases_turbsim_ref_outdata_282.mat,251171.02959467232,45720.35698242609,289576.4854460065
case_312_optimal_k_cases_turbsim_ref_outdata_312.mat,199763.26198042708,39578.3239567632,229402.0428082773
case_34_optimal_k_cases_turbsim_ref_outdata_34.mat,148775.23135980728,11207.551506120408,48341.256455034796
case_359_optimal_k_cases_turbsim_ref_outdata_359.mat,140245.11386240963,5291.430443742958,32228.171988336988
case_367_optimal_k_cases_turbsim_ref_outdata_367.mat,153729.31793034545,8320.898267090095,51305.46449154127
