,RootMyc1,YawBrMyp,YawBrMzp
case_111_optimal_k_cases_turbsim_sat_outdata_111.mat,208328.84176002903,31202.536883021552,208475.21720215317
case_432_optimal_k_cases_turbsim_sat_outdata_432.mat,171564.1910165003,26324.36810935304,190473.6558446727
case_58_optimal_k_cases_turbsim_sat_outdata_58.mat,140991.40207763357,5789.882039635905,37663.41646028149
case_447_optimal_k_cases_turbsim_sat_outdata_447.mat,160203.4837194723,18862.03475372585,127772.97331237468
case_164_optimal_k_cases_turbsim_sat_outdata_164.mat,138466.71607872122,5534.981882755682,38708.930467385166
case_389_optimal_k_cases_turbsim_sat_outdata_389.mat,146657.46614966044,11926.249829307268,47993.12725198572
case_219_optimal_k_cases_turbsim_sat_outdata_219.mat,200192.38935472423,30440.105340543214,208397.25366141245
case_252_optimal_k_cases_turbsim_sat_outdata_252.mat,179531.9969122543,25943.16982459449,183575.31954993858
case_227_optimal_k_cases_turbsim_sat_outdata_227.mat,139489.48346138324,5752.35645941257,40310.052118218744
case_351_optimal_k_cases_turbsim_sat_outdata_351.mat,155579.0412112796,16924.727144190016,121510.89924128258
case_41_optimal_k_cases_turbsim_sat_outdata_41.mat,144403.05090650372,6231.478601580029,49339.77076282375
case_324_optimal_k_cases_turbsim_sat_outdata_324.mat,190091.45654852418,28887.511874477797,207643.96488741678
case_182_optimal_k_cases_turbsim_sat_outdata_182.mat,155202.52819921082,7346.07687004719,56770.47831973034
case_23_optimal_k_cases_turbsim_sat_outdata_23.mat,148481.79204890077,11849.693431695947,50233.255125474425
case_169_optimal_k_cases_turbsim_sat_outdata_169.mat,138466.06231095106,4904.390065525651,32026.54743563296
case_122_optimal_k_cases_turbsim_sat_outdata_122.mat,151066.84436471443,11680.368827602397,48048.05797302743
case_401_optimal_k_cases_turbsim_sat_outdata_401.mat,144403.05090650372,6231.478601580029,49339.77076282375
case_157_optimal_k_cases_turbsim_sat_outdata_157.mat,141235.75300515883,5494.5918498665005,36052.907278596234
case_261_optimal_k_cases_turbsim_sat_outdata_261.mat,150927.86411237105,16880.07503943084,124166.27097507103
case_214_optimal_k_cases_turbsim_sat_outdata_214.mat,144905.82737475767,11491.266775240489,50908.53105641517
case_384_optimal_k_cases_turbsim_sat_outdata_384.mat,209676.3248401258,35745.26536109503,229289.50059682265
case_329_optimal_k_cases_turbsim_sat_outdata_329.mat,140991.40207763357,5789.882039635905,37663.41646028149
case_362_optimal_k_cases_turbsim_sat_outdata_362.mat,155202.52819921082,7346.07687004719,56770.47831973034
case_317_optimal_k_cases_turbsim_sat_outdata_317.mat,139489.48346138324,5752.35645941257,40310.052118218744
case_287_optimal_k_cases_turbsim_sat_outdata_287.mat,148696.54160336248,6853.548988590535,53273.000646112945
