,RootMyc1,YawBrMyp,YawBrMzp
case_2_optimal_k_cases_turbsim_sched_outdata_2.mat,153737.83086947622,7363.0559951070345,57198.121116409275
case_64_optimal_k_cases_turbsim_sched_outdata_64.mat,138437.5805230455,11127.753945333277,36230.61407965876
case_57_optimal_k_cases_turbsim_sched_outdata_57.mat,195880.55638157803,41335.088988988115,201050.53779089425
case_87_optimal_k_cases_turbsim_sched_outdata_87.mat,159001.79489708683,24209.385385620564,89958.34851774288
case_38_optimal_k_cases_turbsim_sched_outdata_38.mat,152564.16909647716,7411.44914223691,48665.87547789656
case_31_optimal_k_cases_turbsim_sched_outdata_31.mat,149876.31368441417,11735.141898563714,47966.330444092535
case_17_optimal_k_cases_turbsim_sched_outdata_17.mat,147514.51688493713,6849.286808834197,53814.35251250465
case_24_optimal_k_cases_turbsim_sched_outdata_24.mat,237759.03267468105,50955.59403510424,304613.2057252166
case_71_optimal_k_cases_turbsim_sched_outdata_71.mat,140022.95432286547,5388.3627896257985,36183.585355294235
case_42_optimal_k_cases_turbsim_sched_outdata_42.mat,213153.325211436,47196.74264102873,235404.53297538435
case_78_optimal_k_cases_turbsim_sched_outdata_78.mat,156771.88099607776,24368.291583436134,98707.87811502477
case_34_optimal_k_cases_turbsim_sched_outdata_34.mat,144086.12095061774,11529.335400864104,51119.34068971812
case_82_optimal_k_cases_turbsim_sched_outdata_82.mat,138734.9974977921,5897.173621164305,38913.5258747867
case_52_optimal_k_cases_turbsim_sched_outdata_52.mat,144714.04847986743,11737.563926432053,43066.26709911063
case_68_optimal_k_cases_turbsim_sched_outdata_68.mat,141826.73657398604,5572.5977712295,35592.08169233983
case_7_optimal_k_cases_turbsim_sched_outdata_7.mat,147153.14727053448,8428.100316309936,54341.85625274938
case_61_optimal_k_cases_turbsim_sched_outdata_61.mat,139208.78755843383,10976.657195012483,38847.67532791222
case_47_optimal_k_cases_turbsim_sched_outdata_47.mat,139489.48346138324,5752.35645941257,40310.052118218744
case_74_optimal_k_cases_turbsim_sched_outdata_74.mat,138908.21626798785,5474.735006403019,38153.551429256295
case_21_optimal_k_cases_turbsim_sched_outdata_21.mat,256888.49267639246,50930.23532213218,305355.854206672
case_28_optimal_k_cases_turbsim_sched_outdata_28.mat,145367.25436447962,7308.637973508734,48432.192139499835
case_12_optimal_k_cases_turbsim_sched_outdata_12.mat,294170.4743057316,56781.40535990617,333166.51036554534
case_4_optimal_k_cases_turbsim_sched_outdata_4.mat,146101.22304918192,7880.978065381737,55260.90484747732
case_45_optimal_k_cases_turbsim_sched_outdata_45.mat,221993.11918977034,49288.667600802415,238712.78594932624
case_76_optimal_k_cases_turbsim_sched_outdata_76.mat,137814.43337789454,5505.155704811229,36400.69521503255
case_23_optimal_k_cases_turbsim_sched_outdata_23.mat,147741.3217406677,11848.606496535669,51206.341587984156
case_19_optimal_k_cases_turbsim_sched_outdata_19.mat,150303.45430176595,7131.027295004023,47521.80323217116
case_10_optimal_k_cases_turbsim_sched_outdata_10.mat,145878.01046412627,7637.630996868387,58610.71473466057
case_36_optimal_k_cases_turbsim_sched_outdata_36.mat,245509.12792779307,50612.67879068158,241384.00528018601
case_89_optimal_k_cases_turbsim_sched_outdata_89.mat,138993.43831390433,5086.548168712243,37016.18906662781
case_9_optimal_k_cases_turbsim_sched_outdata_9.mat,244322.79500241924,57235.1557918003,343008.54116247373
case_80_optimal_k_cases_turbsim_sched_outdata_80.mat,138587.392474677,4870.400488342718,30569.551924407162
case_50_optimal_k_cases_turbsim_sched_outdata_50.mat,145690.17566657145,6344.875093892122,43554.19083624569
case_59_optimal_k_cases_turbsim_sched_outdata_59.mat,140991.40207763357,5789.882039635905,37663.41646028149
case_63_optimal_k_cases_turbsim_sched_outdata_63.mat,182840.67054349912,40789.83669894376,177190.59661278798
case_15_optimal_k_cases_turbsim_sched_outdata_15.mat,264821.93197339756,59499.908107467454,341023.0027830623
case_90_optimal_k_cases_turbsim_sched_outdata_90.mat,159970.45974845564,24532.246803530863,93497.49450960131
case_26_optimal_k_cases_turbsim_sched_outdata_26.mat,147114.03306842985,7904.092280658653,52411.55655143371
case_49_optimal_k_cases_turbsim_sched_outdata_49.mat,145690.17566657145,6344.875093892122,43554.19083624569
case_73_optimal_k_cases_turbsim_sched_outdata_73.mat,138908.21626798785,5474.735006403019,38153.551429256295
case_40_optimal_k_cases_turbsim_sched_outdata_40.mat,143760.33716799982,6206.969553022071,50090.92874983308
case_66_optimal_k_cases_turbsim_sched_outdata_66.mat,181644.51215655438,41202.890212649436,175499.5436242886
case_55_optimal_k_cases_turbsim_sched_outdata_55.mat,147463.8232878699,11880.486025203123,45104.52406688423
case_85_optimal_k_cases_turbsim_sched_outdata_85.mat,137858.45115733903,11457.518626250132,35240.654946005525
case_33_optimal_k_cases_turbsim_sched_outdata_33.mat,203186.99506977966,46640.68767603871,237678.21256856684
case_1_optimal_k_cases_turbsim_sched_outdata_1.mat,153737.83086947622,7363.0559951070345,57198.121116409275
case_6_optimal_k_cases_turbsim_sched_outdata_6.mat,275393.6888069056,61213.54350354984,353477.7801654251
case_22_optimal_k_cases_turbsim_sched_outdata_22.mat,147741.3217406677,11848.606496535669,51206.341587984156
case_18_optimal_k_cases_turbsim_sched_outdata_18.mat,252958.8822680776,54747.73690532506,314522.66914275585
case_11_optimal_k_cases_turbsim_sched_outdata_11.mat,145878.01046412627,7637.630996868387,58610.71473466057
case_44_optimal_k_cases_turbsim_sched_outdata_44.mat,144360.6033920571,6189.398006866072,46523.811369182695
case_3_optimal_k_cases_turbsim_sched_outdata_3.mat,262728.98498212965,59027.57809030606,338595.93592970655
case_77_optimal_k_cases_turbsim_sched_outdata_77.mat,137814.43337789454,5505.155704811229,36400.69521503255
case_51_optimal_k_cases_turbsim_sched_outdata_51.mat,189136.82036745988,43180.382234964534,187904.21475326366
case_58_optimal_k_cases_turbsim_sched_outdata_58.mat,140991.40207763357,5789.882039635905,37663.41646028149
case_62_optimal_k_cases_turbsim_sched_outdata_62.mat,139208.78755843383,10976.657195012483,38847.67532791222
case_37_optimal_k_cases_turbsim_sched_outdata_37.mat,152564.16909647716,7411.44914223691,48665.87547789656
case_88_optimal_k_cases_turbsim_sched_outdata_88.mat,138993.43831390433,5086.548168712243,37016.18906662781
case_81_optimal_k_cases_turbsim_sched_outdata_81.mat,155380.0061425981,22953.88246347675,91786.70599863718
case_48_optimal_k_cases_turbsim_sched_outdata_48.mat,208584.8916916999,44152.96494233967,206598.0554656212
case_72_optimal_k_cases_turbsim_sched_outdata_72.mat,175958.56020599438,41021.58680131888,178676.1234978288
case_41_optimal_k_cases_turbsim_sched_outdata_41.mat,143760.33716799982,6206.969553022071,50090.92874983308
case_14_optimal_k_cases_turbsim_sched_outdata_14.mat,150586.01876445662,11775.230848153127,54054.816685537924
case_27_optimal_k_cases_turbsim_sched_outdata_27.mat,223544.2691021997,50811.85004067571,307113.43253810954
case_84_optimal_k_cases_turbsim_sched_outdata_84.mat,156780.01133984787,23800.742181817663,88097.19323814935
case_32_optimal_k_cases_turbsim_sched_outdata_32.mat,149876.31368441417,11735.141898563714,47966.330444092535
case_67_optimal_k_cases_turbsim_sched_outdata_67.mat,141826.73657398604,5572.5977712295,35592.08169233983
case_54_optimal_k_cases_turbsim_sched_outdata_54.mat,206215.26293066112,40252.498830962475,195219.69199989937
case_86_optimal_k_cases_turbsim_sched_outdata_86.mat,137858.45115733903,11457.518626250132,35240.654946005525
case_39_optimal_k_cases_turbsim_sched_outdata_39.mat,226742.1718386521,47255.4268846868,240927.36756092118
case_30_optimal_k_cases_turbsim_sched_outdata_30.mat,227874.30636269992,49649.00685721313,295923.39545284666
case_65_optimal_k_cases_turbsim_sched_outdata_65.mat,138437.5805230455,11127.753945333277,36230.61407965876
case_56_optimal_k_cases_turbsim_sched_outdata_56.mat,147463.8232878699,11880.486025203123,45104.52406688423
case_70_optimal_k_cases_turbsim_sched_outdata_70.mat,140022.95432286547,5388.3627896257985,36183.585355294235
case_43_optimal_k_cases_turbsim_sched_outdata_43.mat,144360.6033920571,6189.398006866072,46523.811369182695
case_79_optimal_k_cases_turbsim_sched_outdata_79.mat,138587.392474677,4870.400488342718,30569.551924407162
case_16_optimal_k_cases_turbsim_sched_outdata_16.mat,147514.51688493713,6849.286808834197,53814.35251250465
case_25_optimal_k_cases_turbsim_sched_outdata_25.mat,147114.03306842985,7904.092280658653,52411.55655143371
case_53_optimal_k_cases_turbsim_sched_outdata_53.mat,144714.04847986743,11737.563926432053,43066.26709911063
case_69_optimal_k_cases_turbsim_sched_outdata_69.mat,178358.66878007448,40323.92327151517,179239.56664365024
case_60_optimal_k_cases_turbsim_sched_outdata_60.mat,202828.96816973752,43050.83369405785,196329.5957135115
case_35_optimal_k_cases_turbsim_sched_outdata_35.mat,144086.12095061774,11529.335400864104,51119.34068971812
case_83_optimal_k_cases_turbsim_sched_outdata_83.mat,138734.9974977921,5897.173621164305,38913.5258747867
case_20_optimal_k_cases_turbsim_sched_outdata_20.mat,150303.45430176595,7131.027295004023,47521.80323217116
case_29_optimal_k_cases_turbsim_sched_outdata_29.mat,145367.25436447962,7308.637973508734,48432.192139499835
case_13_optimal_k_cases_turbsim_sched_outdata_13.mat,150586.01876445662,11775.230848153127,54054.816685537924
case_46_optimal_k_cases_turbsim_sched_outdata_46.mat,139489.48346138324,5752.35645941257,40310.052118218744
case_75_optimal_k_cases_turbsim_sched_outdata_75.mat,170257.74879561595,40009.95319619981,175484.56419355425
case_8_optimal_k_cases_turbsim_sched_outdata_8.mat,147153.14727053448,8428.100316309936,54341.85625274938
case_5_optimal_k_cases_turbsim_sched_outdata_5.mat,146101.22304918192,7880.978065381737,55260.90484747732
