,RootMyc1,YawBrMyp,YawBrMzp
case_169_optimal_k_cases_turbsim_wu_outdata_169.mat,139813.72195318507,4439.702644685023,29698.899080017847
case_331_optimal_k_cases_turbsim_wu_outdata_331.mat,140541.78712533065,10919.263335439238,38233.92659671322
case_188_optimal_k_cases_turbsim_wu_outdata_188.mat,153727.64033184465,8320.901471006982,51308.42583076675
case_413_optimal_k_cases_turbsim_wu_outdata_413.mat,144714.04847986743,11737.563926432053,43066.26709911063
case_203_optimal_k_cases_turbsim_wu_outdata_203.mat,152354.0069058968,11833.773486523849,48660.917010865385
case_261_optimal_k_cases_turbsim_wu_outdata_261.mat,143609.82825894858,16170.683371144689,85785.41729546436
case_280_optimal_k_cases_turbsim_wu_outdata_280.mat,150297.62912573942,7581.562396844382,58211.68698599193
case_64_optimal_k_cases_turbsim_wu_outdata_64.mat,140124.98307992105,10981.368910064552,34773.020992283666
case_353_optimal_k_cases_turbsim_wu_outdata_353.mat,139290.71772780857,6023.335581849543,34976.94545017472
case_328_optimal_k_cases_turbsim_wu_outdata_328.mat,143336.3149422431,5868.775013555194,36186.60449727864
case_170_optimal_k_cases_turbsim_wu_outdata_170.mat,139813.72195318507,4439.702644685023,29698.899080017847
case_191_optimal_k_cases_turbsim_wu_outdata_191.mat,151919.72062761124,7572.620207995251,57589.08282848663
case_278_optimal_k_cases_turbsim_wu_outdata_278.mat,151647.24311544202,8406.532316379147,51786.75061098354
case_63_optimal_k_cases_turbsim_wu_outdata_63.mat,138101.83646420384,6428.2905583728725,47891.87534592612
case_299_optimal_k_cases_turbsim_wu_outdata_299.mat,150112.58623800724,11868.091030069007,46402.34513286752
case_112_optimal_k_cases_turbsim_wu_outdata_112.mat,152691.16063764764,11830.350183092387,48417.24306460598
case_344_optimal_k_cases_turbsim_wu_outdata_344.mat,139743.39251442376,5487.347664698442,37025.6534803795
case_297_optimal_k_cases_turbsim_wu_outdata_297.mat,239470.68714928464,58170.049432975014,252616.4256404027
case_276_optimal_k_cases_turbsim_wu_outdata_276.mat,268532.20309613436,70672.76865783217,277905.7902009536
case_214_optimal_k_cases_turbsim_wu_outdata_214.mat,148711.3980384012,11208.137507625408,48405.19601741873
case_404_optimal_k_cases_turbsim_wu_outdata_404.mat,144951.12363818916,6218.319406657757,42287.41114292615
case_50_optimal_k_cases_turbsim_wu_outdata_50.mat,148659.06488105186,6294.844873414085,40984.21573240475
case_326_optimal_k_cases_turbsim_wu_outdata_326.mat,150228.7255860889,11658.435428143957,42898.99902620252
case_105_optimal_k_cases_turbsim_wu_outdata_105.mat,146746.2354895622,11268.314776232768,68641.81241933968
case_39_optimal_k_cases_turbsim_wu_outdata_39.mat,146345.5047035367,7153.788735739965,66446.47699888736
case_89_optimal_k_cases_turbsim_wu_outdata_89.mat,140405.0775344677,5311.702953538084,32166.822202795214
case_186_optimal_k_cases_turbsim_wu_outdata_186.mat,222846.91057886774,47069.82072867164,280129.9886759207
case_167_optimal_k_cases_turbsim_wu_outdata_167.mat,139349.4175333689,4700.776398567382,31913.963235935033
case_57_optimal_k_cases_turbsim_wu_outdata_57.mat,143093.71240104598,12610.070836205034,53376.98869118612
case_385_optimal_k_cases_turbsim_wu_outdata_385.mat,148250.38606626843,12369.070277170558,51452.15505431034
case_62_optimal_k_cases_turbsim_wu_outdata_62.mat,141221.64371600197,10919.916325682314,37643.971734321436
case_256_optimal_k_cases_turbsim_wu_outdata_256.mat,139234.29164624002,4694.401601492942,32106.1431895309
case_446_optimal_k_cases_turbsim_wu_outdata_446.mat,137696.69290609282,11855.724638077767,35364.917336199884
case_364_optimal_k_cases_turbsim_wu_outdata_364.mat,148149.22460797272,12173.21433420535,55426.69513895848
case_306_optimal_k_cases_turbsim_wu_outdata_306.mat,227634.6435280583,49060.83450190675,235695.9568698401
case_424_optimal_k_cases_turbsim_wu_outdata_424.mat,138077.89241884465,11068.495191018663,37091.69730276033
case_234_optimal_k_cases_turbsim_wu_outdata_234.mat,164656.23145999332,35490.47855614889,207757.7908818686
case_65_optimal_k_cases_turbsim_wu_outdata_65.mat,140124.98307992105,10981.368910064552,34773.020992283666
case_125_optimal_k_cases_turbsim_wu_outdata_125.mat,148972.79801076942,11215.067671058196,48129.78467222915
case_147_optimal_k_cases_turbsim_wu_outdata_147.mat,147894.24886858082,16437.19810556995,71390.19592681184
case_2_optimal_k_cases_turbsim_wu_outdata_2.mat,162210.08132447005,10975.436157177504,54810.878119807945
case_56_optimal_k_cases_turbsim_wu_outdata_56.mat,151154.65759440637,11480.906918758872,41855.603518027274
case_223_optimal_k_cases_turbsim_wu_outdata_223.mat,148026.50296415167,6190.687711631097,42221.94593790306
case_433_optimal_k_cases_turbsim_wu_outdata_433.mat,138466.71607872122,5534.981882755682,38708.930467385166
case_311_optimal_k_cases_turbsim_wu_outdata_311.mat,146514.9082692272,6298.570476616374,48579.511719419475
case_149_optimal_k_cases_turbsim_wu_outdata_149.mat,144319.6392324432,11217.265640898366,36039.6627305112
case_88_optimal_k_cases_turbsim_wu_outdata_88.mat,140405.0775344677,5311.702953538084,32166.822202795214
case_38_optimal_k_cases_turbsim_wu_outdata_38.mat,156573.89933333747,12293.17650356238,48315.618201626676
case_373_optimal_k_cases_turbsim_wu_outdata_373.mat,151422.615145892,7269.216747350129,53629.74496595494
case_241_optimal_k_cases_turbsim_wu_outdata_241.mat,141032.94784491797,10919.340814494079,37784.40944274794
case_392_optimal_k_cases_turbsim_wu_outdata_392.mat,151066.84436471443,11680.368827602397,48048.05797302743
case_51_optimal_k_cases_turbsim_wu_outdata_51.mat,142452.08834799734,7188.288053565833,50504.98218184512
case_150_optimal_k_cases_turbsim_wu_outdata_150.mat,138783.1138422023,13015.73031579765,46969.742558641374
case_308_optimal_k_cases_turbsim_wu_outdata_308.mat,155214.9636537119,12375.842598831534,48192.49523431084
case_132_optimal_k_cases_turbsim_wu_outdata_132.mat,143028.8120193662,13083.223755480361,65266.62342485054
case_448_optimal_k_cases_turbsim_wu_outdata_448.mat,138767.19153791643,5245.449275679814,38351.14069121886
case_258_optimal_k_cases_turbsim_wu_outdata_258.mat,143672.15462659264,19248.846292729722,93728.95820980948
case_274_optimal_k_cases_turbsim_wu_outdata_274.mat,152140.71979527778,11851.603174107395,53128.875762962445
case_346_optimal_k_cases_turbsim_wu_outdata_346.mat,138591.96891815515,4592.600761929524,33363.12819520117
case_295_optimal_k_cases_turbsim_wu_outdata_295.mat,151670.56842253258,11812.019719266378,49574.5320900834
case_324_optimal_k_cases_turbsim_wu_outdata_324.mat,181096.89713450192,36377.66689437719,228973.79963132602
case_406_optimal_k_cases_turbsim_wu_outdata_406.mat,139489.48346138324,5752.35645941257,40310.052118218744
case_216_optimal_k_cases_turbsim_wu_outdata_216.mat,184828.3428787514,37272.97513608278,238394.79622586505
case_68_optimal_k_cases_turbsim_wu_outdata_68.mat,143033.36863666357,5814.1687590730635,34853.64255596079
case_107_optimal_k_cases_turbsim_wu_outdata_107.mat,154267.30504663987,6772.203924974448,51147.2264770004
case_165_optimal_k_cases_turbsim_wu_outdata_165.mat,138058.65457682812,10877.062972063772,60168.378566112566
case_184_optimal_k_cases_turbsim_wu_outdata_184.mat,153553.58816311054,11796.66063683416,52150.51373084276
case_201_optimal_k_cases_turbsim_wu_outdata_201.mat,209256.03349394418,39692.52633801655,265073.72861382755
case_411_optimal_k_cases_turbsim_wu_outdata_411.mat,189136.82036745988,43180.382234964534,187904.21475326366
case_8_optimal_k_cases_turbsim_wu_outdata_8.mat,153954.26793641207,8394.442350532476,50906.52358515983
case_333_optimal_k_cases_turbsim_wu_outdata_333.mat,163244.07258338225,30936.74101168957,200219.15129823636
case_282_optimal_k_cases_turbsim_wu_outdata_282.mat,256633.54152031275,59365.11063267578,284353.77918840304
case_351_optimal_k_cases_turbsim_wu_outdata_351.mat,146767.34450427545,20311.575550817528,123386.36058444163
case_85_optimal_k_cases_turbsim_wu_outdata_85.mat,139514.8127378293,5646.957566842637,34834.03844439034
case_109_optimal_k_cases_turbsim_wu_outdata_109.mat,155244.3450277456,7127.846668339995,45597.568745804485
case_35_optimal_k_cases_turbsim_wu_outdata_35.mat,149331.97219500193,11212.326294787985,48192.742293235206
